NPC,"kk amiga, olha esses homens de hj em dia, essa geração tá perdida",Asmin_mell,Lele_mov_frente,Asmim_Mell-Sheet_0
Player,como assim? o que tem os homens em 2024?,Lelê,Lele_mov_frente,Asmim_Mell-Sheet_0
NPC,"Você não viu? eles querem ser mimados agora, na vdd acho q nem são homens kkkk",Asmin_mell,Lele_mov_frente,Asmim_Mell-Sheet_0
NPC,"Tão até querendo dividir a conta, teve um que foi dar uma cantada em mim e falou “Divou no luk” KKKKKKKKK",Asmin_mell,Lele_mov_frente,Asmim_Mell-Sheet_0
Player,Mas qual o problema? Afinal o que é ser homem?,Lelê,Lele_mov_frente,Asmim_Mell-Sheet_0
NPC,"É que tá errado, homem tem q ser forte e cavalheiro, pagar as contas e fazer coisa de homem, isso ai é coisa de mulher",Asmin_mell,Lele_mov_frente,Asmim_Mell-Sheet_0
NPC,"Tem uns querendo até normalizar maquiagem masculina, cada dia mais difícil achar um homem de vdd, quem casou casou kkkkkkk",Asmin_mell,Lele_mov_frente,Asmim_Mell-Sheet_0
Player,Eu não vejo problema nisso....,Lelê,Lele_mov_frente,Asmim_Mell-Sheet_0
Player,Pq será que isso te atinge tanto? Eles parecem tão felizes sendo eles mesmos,Lelê,Lele_mov_frente,Asmim_Mell-Sheet_0
NPC,Será?,Asmin_mell,Lele_mov_frente,Asmim_Mell-Sheet_0
