NPC,"Affs, cansei de internet por hoje",Troll Je,Lele_mov_frente,Troll1,165600
NPC,Vou jogar um futebol que ganho mais.,Troll Je,Lele_mov_frente,Troll1,165600
NPC,"Muito obg, de vdd, n sabia oq fazer e vc foi tão foda",Mia,Lele_mov_frente,Mia_frente_Idle_sheet_0,695200
Player,"Não foi nada. Odeio ver esse tipo de situação de abuso, aliás qual seu nome?",Lelê,Lele_mov_frente,Mia_Frente_Feliz,580243
NPC,Mia e o seu?,Mia,Lele_mov_frente,Mia_frente_Idle_sheet_0,695200
Player,"Lelê, prazer!",Lelê,Lele_mov_frente,Mia_Frente_Feliz,580243
NPC,"Lelê, nome bonito…",Mia,Lele_mov_frente,Mia_frente_Idle_sheet_0,695200
Player,Golpes na internet estão cada vez mais frequentes. Cuidado quando pedirem dinheiro.,Lelê,Lele_mov_frente,Mia_Frente_Feliz,580243
Player,Você pode ligar pra pessoa e confirmar se é realmente verdade.,Lelê,Lele_mov_frente,Mia_Frente_Feliz,580243
NPC,Ah sim… Obrigada hihihi,Mia,Lele_mov_frente,Mia_frente_Idle_sheet_0,695200
