NPC,Veja só se não é uma garota mimada da geração lacração!,Troll Kingo,Lele_mov_frente,Troll_Boss_Idle_0,Troll Boss
Player,Eu não me identifico como mulher,Lelê,Lele_mov_frente,Troll_Boss_Idle_0,Lele
NPC,"Pare de inventar moda! É claro que você é mulher, e das feias por sinal hehehehe",Troll Kingo,Lele_mov_frente,Troll_Boss_Rindo-Sheet,Troll Boss
Player,Quanta ignorância...,Lelê,Lele_mov_frente,Troll_Boss_Idle_0,Lele
NPC,"Ent, como você se considera? Parte daquela turma dos ""indecisos""?",Troll Kingo,Lele_mov_frente,Troll_Boss_Idle_0,Troll Boss
NPC,"Indecisão mesmo é não conseguir escolher uma boa cerveja, kkkk",Troll Kingo,Lele_mov_frente,Troll_Boss_Rindo-Sheet,Troll Boss
Player,"Minha forma de viver não muda a sua, e se quiser posso te expli-",Lelê,Lele_mov_frente,Troll_Boss_Raiva,Lele
NPC,"Não tem nada que eu já não saiba! Vc deveria mesmo ir limpar sua casa, cuidar desse cabelo... essas coisas de mulher.",Troll Kingo,Lele_mov_frente,Troll_Boss_Raiva,Troll Boss
Player,"Pra que agir assim? mesmo sabendo que só está aqui por causa de uma ""mulher""?!",Lelê,Lele_mov_frente,Troll_Boss_Raiva,Lele
NPC,Acho que vou ter que ensinar uma lição pra mais uma mulher sem noção,Troll Kingo,Lele_mov_frente,Troll_Boss_Raiva,Troll Boss
